iata	icao	name	municipality	lat	lon
BRX	MDBH	Maria Montez International Airport	Barahona	18.251499	-71.120399
BRY	KBRY	Samuels Field	Bardstown	37.814301	-85.499603
BSA	HCMF	Bender Qassim International Airport	Bosaso	11.275235	49.139231
BSB	SBBR	Presidente Juscelino Kubitschek International Airport	Brasília	-15.869167	-47.920834
BSC	SKBS	José Celestino Mutis Airport	Bahía Solano	6.202920	-77.394700
BSD	ZPBS	Baoshan Yunrui Airport	Baoshan (Longyang)	25.053301	99.168297
BSE	WBGN	Sematan Airport	Sematan	1.812678	109.765391
BSF	PHSF	Bradshaw Army Airfield	Waimea (Kamuela)	19.760099	-155.554001
BSG	FGBT	Bata International Airport	Bata	1.905470	9.805680
BSI	RPLE	Balesin Island Airport	Balesin	14.418624	122.039230
BSJ	YBNS	Bairnsdale Airport	Bairnsdale	-37.887539	147.569379
BSK	DAUB	Biskra - Mohamed Khider Airport	Biskra	34.793180	5.738899
BSL	LFSB	EuroAirport Basel–Mulhouse–Freiburg	Bâle / Mulhouse	47.600680	7.521117
BSM	OINJ	Bishe Kola Air Base	Amol	36.655102	52.349602
BSN	FEFS	Bossangoa Airport	Bossangoa	6.492000	17.429001
BSO	RPUO	Basco Airport	Basco	20.451300	121.980003
BSP	AYBH	Bensbach Airport	Bensbach	-8.858056	141.259444
BSQ	KP04	Bisbee Municipal Airport	Bisbee	31.364000	-109.883003
BSR	ORMM	Basra International Airport	Basra	30.549101	47.662102
BSS	SNBS	Balsas Airport	Balsas	-7.525305	-46.053364
BST	OABT	Bost Airport	Lashkar Gah	31.559700	64.364998
BSU	FZEN	Basankusu Airport	Basankusu	1.224789	19.788097
BSV	BSV	Besakoa Airport	Besakoa	-15.672500	47.061667
BSW	AK97	Boswell Bay Airport	Boswell Bay	60.423100	-146.145996
BSX	VYPN	Pathein Airport	Pathein	16.815201	94.779900
BSY	HCMD	Baardheere Airport	Baardheere	2.330195	42.311802
BSZ	UCFM	Manas International Airport	Bishkek	43.061298	74.477600
BTA	FKKO	Bertoua Airport	Bertoua	4.548610	13.726100
BTB	FCOT	Betou Airport	Betou	3.057593	18.514433
BTC	VCCB	Batticaloa International Airport	Batticaloa	7.705073	81.677163
BTD	YBRU	Brunette Downs Airport		-18.637472	135.938355
BTF	KBTF	Skypark Airport	Bountiful	40.869400	-111.927002
BTG	FEGF	Batangafo Airport	Batangafo	7.314110	18.308800
BTH	WIDD	Hang Nadim International Airport	Batam	1.121030	104.119003
BTI	PABA	Barter Island Long Range Radar Station Airport	Barter Island	70.134003	-143.582001
BTJ	WITT	Sultan Iskandar Muda International Airport	Banda Aceh	5.525087	95.419970
BTK	UIBB	Bratsk Airport	Bratsk	56.369600	101.701822
BTL	KBTL	Battle Creek Executive Airport at Kellogg Field	Battle Creek	42.307301	-85.251503
BTM	KBTM	Bert Mooney Airport	Butte	45.954800	-112.497002
BTN	KBBP	Marlboro County Jetport - H E Avent Field Airport	Bennettsville	34.621700	-79.734398
BTO	GY-BTO	Botopasi Airport	Botopasi	4.217511	-55.447054
BTP	KBTP	Pittsburgh/Butler Regional Airport	Butler	40.776901	-79.949699
BTQ	HRYI	Butare Airport	Butare	-2.595830	29.736700
BTR	KBTR	Baton Rouge Metropolitan Airport	Baton Rouge	30.533199	-91.149597
BTS	LZIB	M. R. Štefánik Airport	Bratislava	48.170200	17.212700
BTT	PABT	Bettles Airport	Bettles	66.913902	-151.529007
BTU	WBGB	Bintulu Airport	Bintulu	3.123850	113.019997
BTV	KBTV	Patrick Leahy Burlington International Airport	Burlington	44.471901	-73.153297
BTW	WAOC	Bersujud Airport	Batu Licin	-3.412410	115.995003
BTX	YBEO	Betoota Airport		-25.694791	140.738339
BTY	KBTY	Beatty Airport	Beatty	36.861099	-116.787003
BTZ	VTSY	Betong International Airport	Betong	5.790000	101.150000
BUA	AYBK	Buka Airport	Buka Island	-5.422299	154.672698
BUB	KBUB	Cram Field	Burwell	41.776699	-99.149696
BUC	YBKT	Burketown Airport		-17.748600	139.533997
BUD	LHBP	Budapest Liszt Ferenc International Airport	Budapest	47.430180	19.262393
BUF	KBUF	Buffalo Niagara International Airport	Buffalo	42.940498	-78.732201
BUG	FNBG	Benguela Airport	Benguela	-12.609000	13.403700
BUI	WAVB	Bokondini Airport	Bokondini	-3.684550	138.677437
BUJ	DAAD	Bou Saada Airport	Ouled Sidi Brahim	35.332500	4.206390
BUK	OYBQ	Al-Bough Airport	Al-Bough	17.350352	44.625542
BUL	AYBU	Bulolo Airport	Bulolo	-7.216287	146.649542
BUM	KBUM	Butler Memorial Airport	Butler	38.289799	-94.340103
BUN	SKBU	Gerardo Tobar López Airport	Buenaventura	3.819630	-76.989800
BUO	HCMV	Burao Airport	Burao	9.527500	45.554900
BUP	VIBT	Bhatinda Air Force Station		30.270100	74.755798
BUQ	FVJN	Joshua Mqabuko Nkomo International Airport	Bulawayo	-20.016284	28.622897
BUR	KBUR	Hollywood Burbank/Bob Hope Airport	Burbank	34.202834	-118.358050
BUS	UGSB	Alexander Kartveli Batumi International Airport	Batumi	41.609390	41.600315
BUT	VQBT	Bathpalathang Airport	Jakar	27.562200	90.747100
BUU	WIJB	Muara Bungo Airport	Muara Bungo	-1.541635	102.181613
BUV	SUBU	Placeres Airport	Bella Union	-30.319807	-57.558823
BUW	WAWB	Betoambari Airport	Bau Bau	-5.486037	122.569823
BUX	FZKA	Bunia Airport	Bunia	1.565743	30.220685
BUY	YBUN	Bunbury Airport		-33.378056	115.676944
BUZ	OIBB	Bushehr Airport	Bushehr	28.944799	50.834599
BVA	LFOB	Beauvais-Tillé airport	Beauvais	49.454399	2.112780
BVB	SBBV	Atlas Brasil Cantanhede International Airport	Boa Vista	2.846150	-60.690648
BVC	GVBA	Aristides Pereira International Airport	Rabil	16.136499	-22.888901
BVE	LFSL	Brive Souillac airport	Brive	45.039722	1.485556
BVG	ENBV	Berlevåg Airport	Berlevåg	70.871517	29.034097
BVH	SBVH	Brigadeiro Camarão Airport	Vilhena	-12.694400	-60.098301
BVI	YBDV	Birdsville Airport		-25.897499	139.348007
BVJ	USDB	Bovanenkovo Airport	Bovanenkovo	70.315278	68.333611
BVK	SLHJ	Huacaraje Airport	Itenes	-13.605556	-63.879444
BVL	BO-BVL	Baures Airport	Baures	-13.654426	-63.704718
BVM	SD6P	Belmonte Airport	Belmonte	-15.871700	-38.871899
BVO	KBVO	Bartlesville Municipal Airport	Bartlesville	36.762501	-96.011200
BVS	SNVS	Breves Airport	Breves	-1.636530	-50.443600
BVU	PABG	Beluga Airport	Beluga	61.172199	-151.044006
BVV	UHSB	Burevestnik Airport	Kurilsk	44.919998	147.621994
BVW	YBTV	Batavia Downs Airport		-12.659200	142.675003
BVX	KBVX	Batesville Regional Airport	Batesville	35.726200	-91.647301
BVY	KBVY	Beverly Regional Airport	Beverly / Danvers	42.584202	-70.916496
BVZ	YBYS	Beverley Springs Airport	Wunaamin Miliwundi Ranges	-16.732756	125.439105
BWA	VNBW	Gautam Buddha International Airport	Siddharthanagar (Bhairahawa)	27.504636	83.410381
BWB	YBWX	Barrow Island Airport		-20.864444	115.406111
BWC	KBWC	Brawley Municipal Airport	Brawley	32.992901	-115.516998
BWD	KBWD	Brownwood Regional Airport	Brownwood	31.793600	-98.956497
BWE	EDVE	Braunschweig-Wolfsburg Airport	Braunschweig	52.319199	10.556100
BWF	EGNL	Barrow Walney Island Airport	Barrow-in-Furness	54.128611	-3.267500
BWG	KBWG	Bowling Green Warren County Regional Airport	Bowling Green	36.964500	-86.419701
BWH	WMKB	RMAF Butterworth Air Base	Butterworth	5.465920	100.390999
BWI	KBWI	Baltimore/Washington International Thurgood Marshall Airport	Baltimore	39.175400	-76.668297
BWJ	BWJ	Bawan Airport		-6.396944	146.881667
BWK	LDSB	Brač Airport	Gornji Humac	43.284454	16.678362
BWL	KBKN	Blackwell Tonkawa Municipal Airport	Blackwell	36.745212	-97.349619
BWM	KBWW	Bowman Regional Airport	Bowman	46.165519	-103.300750
BWN	WBSB	Brunei International Airport	Bandar Seri Begawan	4.944200	114.928001
BWO	UWSB	Balakovo Airport	Balakovo	51.858299	47.745602
BWP	AYBI	Bewani Airport	Bewani	-3.021667	141.165278
BWQ	YBRW	Brewarrina Airport		-29.975792	146.814380
BWT	YWYY	Wynyard Airport	Burnie	-40.997039	145.726000
BWU	YSBK	Sydney Bankstown Airport	Sydney	-33.923618	150.990792
BWW	MUBR	Las Brujas Airport	Cayo Santa Maria	22.621300	-79.147202
BWX	WADY	Banyuwangi Airport	Rogojampi, Banyuwangi	-8.310150	114.340100
BXA	KBXA	George R Carr Memorial Air Field	Bogalusa	30.813700	-89.864998
BXB	WASO	Babo Airport	Babo	-2.532240	133.438995
BXD	WAKE	Bade Airport	Bade	-7.175902	139.583330
BXE	GOTB	Bakel Airport	Bakel	14.847300	-12.468300
BXF	YBEB	Bellburn Airstrip	Pumululu National Park	-17.545000	128.305000
BXG	YBDG	Bendigo Airport		-36.739399	144.330002
BXH	UAAH	Balkhash Airport	Balkhash	46.894246	75.004533
BXI	DIBI	Boundiali Airport	Boundiali	9.540571	-6.469831
BXJ	UAAR	Boralday Airport	Boralday	43.352052	76.883039
BXK	KBXK	Buckeye Municipal Airport	Buckeye	33.422397	-112.686317
BXM	WAJG	Batom Airport	Batom	-4.442687	140.883565
BXN	LTBV	Bodrum-Imsık Airport	Bodrum	37.140099	27.669701
BXO	LSZC	Buochs Airport	Buochs	46.974444	8.396944
BXR	OIKM	Bam Airport	Bam	29.084200	58.450001
BXS	KL08	Borrego Valley Airport	Borrego Springs	33.258999	-116.320999
BXT	WALC	LNG Badak Airport	Bontang-Borneo Island	0.121656	117.476558
BXU	RPME	Bancasi Airport	Butuan	8.951500	125.478800
BXV	BIBV	Breiðdalsvík Airport	Breiðdalsvík	64.790037	-14.043927
BXW	WARW	Harun Thohir Airport	Bawean	-5.723628	112.678889
BXX	SO-BXX	Borama Airport	Borama	9.946300	43.149500
BXY	UAOL	Baikonur Krayniy International Airport	Baikonur	45.621994	63.210773
BXZ	AYNS	Bunsil Airport	Bunsil - Umboi Island	-5.724300	147.866700
BYA	BYA	Boundary Airport	Boundary	64.077678	-141.122088
BYB	OM-0001	Dibba Airport	Dibba al Baya	25.614229	56.244400
BYC	SLYA	Yacuiba Airport	Yacuíba	-21.960899	-63.651699
BYD	OYBI	Al-Bayda Airport	Al-Bayda	14.105974	45.441079
BYF	LFAQ	Albert Bray airport	Albert	49.970049	2.693939
BYG	KBYG	Johnson County Airport	Buffalo	44.381100	-106.722000
BYH	KBYH	Arkansas International Airport	Blytheville	35.964298	-89.944000
BYI	KBYI	Burley Municipal Airport	Burley	42.542599	-113.772003
BYJ	LPBJ	Beja Airport / Airbase	Beja	38.078899	-7.932400
BYK	DIBK	Bouaké Airport	Bouaké	7.738800	-5.073670
BYL	BYL	Bella Yella Airport	Beliyela	7.369167	-9.993722
BYM	MUBY	Carlos Manuel de Cespedes Airport	Bayamo	20.396400	-76.621399
BYN	ZMBH	Bayankhongor Airport	Bayankhongor	46.163300	100.704002
BYO	SBDB	Bonito Airport	Bonito	-21.247300	-56.452399
BYP	YBRY	Barimunya Airport		-22.673889	119.166111
BYR	EKLS	Læsø Airport	Læsø	57.277199	11.000100
BYS	KBYS	Bicycle Lake Army Air Field	Fort Irwin/Barstow	35.280499	-116.629997
BYT	EIBN	Bantry Aerodrome	Bantry	51.677200	-9.487123
BYU	EDQD	Bayreuth Airport	Bindlach	49.985001	11.640000
BYW	38WA	Blakely Island Airport	Blakely Island	48.579162	-122.823844
BYX	AU-BYX	Baniyala Airport	Baniyala	-13.198100	136.227005
BZA	MNBZ	San Pedro Airport	Bonanza	14.031524	-84.624311
BZB	BZB	Bazaruto Island Airport	Bazaruto Island	-21.541100	35.472900
BZC	SBBZ	Umberto Modiano Airport	Cabo Frio	-22.770881	-41.963080
BZD	YBRN	Balranald Airport		-34.624834	143.577114
BZE	MZBZ	Philip S. W. Goldson International Airport	Belize City	17.539951	-88.303556
BZF	O85	Benton Field	Redding	40.574902	-122.407997
BZG	EPBY	Ignacy Jan Paderewski Bydgoszcz Airport	Bydgoszcz	53.096802	17.977699
BZH	FVBM	Bumi Hills Airport	Bumi	-16.816485	28.344786
BZI	LTBF	Balıkesir Airport	Balıkesir	39.619301	27.926001
BZJ	ZSBO	Bozhou Airport (under construction)	Bozhou	33.560777	115.911859
BZK	UUBP	Bryansk International Airport	Bryansk	53.214403	34.175965
BZL	VGBR	Barisal Airport	Barisal	22.801001	90.301201
BZM	BZM	Bemolanga Airport	Bemolanga	-17.692500	45.088833
BZN	KBZN	Bozeman Yellowstone International Airport	Bozeman	45.778853	-111.153711
BZO	LIPB	Bolzano Airport	Bolzano (BZ)	46.459245	11.326125
BZP	YBIZ	Bizant Airport	Lakefield National Park	-14.740278	144.119444
BZR	LFMU	Béziers Vias airport	Béziers	43.323502	3.353900
BZT	2TE0	Eagle Air Park	Brazoria	28.982201	-95.579697
BZU	FZKJ	Buta Zega Airport	Buta	2.818058	24.793997
BZV	FCBB	Maya-Maya International Airport	Brazzaville	-4.251700	15.253000
BZX	ZUBZ	Bazhong Enyang Airport	Bazhong	31.738420	106.644872
BZY	LUBL	Bălți-Leadoveni International Airport	Bălți	47.837666	27.781108
BZZ	EGVN	RAF Brize Norton	Carterton, Oxfordshire	51.750000	-1.583620
CAA	MHGE	El Aguacate Airport	El Aguacate	14.875000	-85.776108
CAB	FNCA	Cabinda Airport	Cabinda	-5.598390	12.188145
CAC	SBCA	Coronel Adalberto Mendes da Silva Airport	Cascavel	-25.000323	-53.501208
CAD	KCAD	Wexford County Airport	Cadillac	44.275749	-85.421534
CAE	KCAE	Columbia Metropolitan Airport	Columbia	33.938172	-81.123022
CAF	SWCA	Carauari Airport	Carauari	-4.871473	-66.897552
CAG	LIEE	Cagliari Elmas Airport	Cagliari	39.251499	9.054280
CAH	VVCM	Cà Mau Airport	Ca Mau City	9.177667	105.177778
CAI	HECA	Cairo International Airport	Cairo	30.111534	31.396694
CAJ	SVCN	Canaima Airport	Canaima	6.231989	-62.854850
CAK	KCAK	Akron Canton Regional Airport	Akron	40.916100	-81.442200
CAL	EGEC	Campbeltown Airport	Campbeltown	55.437199	-5.686390
CAM	SLCA	Camiri Airport	Camiri	-20.006560	-63.527827
CAN	ZGGG	Guangzhou Baiyun International Airport	Guangzhou (Huadu)	23.392401	113.299004
CAO	KCAO	Clayton Municipal Airpark	Clayton	36.446201	-103.167000
CAP	MTCH	Cap Haitien International Airport	Cap Haitien	19.725547	-72.200710
CAQ	SKCU	Juan H White Airport	Caucasia	7.968470	-75.198500
CAR	KCAR	Caribou Municipal Airport	Caribou	46.871498	-68.017899
CAT	LPCS	Cascais Airport	Cascais	38.724998	-9.355230
CAU	SNRU	Caruaru Airport	Caruaru	-8.282390	-36.013500
CAV	FNCZ	Cazombo Airport	Cazombo	-11.893100	22.916239
CAW	SBCP	Bartolomeu Lisandro Airport	Campos dos Goytacazes	-21.698299	-41.301701
CAX	EGNC	Carlisle Lake District Airport	Carlisle, Cumbria	54.937500	-2.809170
CAY	SOCA	Cayenne – Félix Eboué Airport	Matoury	4.819964	-52.361326
CAZ	YCBA	Cobar Airport		-31.538300	145.794006
CBB	SLCB	Jorge Wilsterman International Airport	Cochabamba	-17.421105	-66.177102
CBC	CBC	Cherrabun Airport		-18.917778	125.537778
CBD	VOCX	Car Nicobar Air Force Base	IAF Camp	9.153056	92.819273
CBE	KCBE	Greater Cumberland Regional Airport	Wiley Ford	39.615398	-78.760902
CBF	KCBF	Council Bluffs Municipal Airport	Council Bluffs	41.259201	-95.760597
CBG	EGSC	Cambridge City Airport	Cambridge, Cambridgeshire	52.205002	0.175000
CBH	DAOR	Béchar Boudghene Ben Ali Lotfi Airport	Béchar	31.645700	-2.269860
CBI	YCBN	Cape Barren Island Airport	Cape Barren Island	-40.390537	148.016933
CBJ	MDCR	Cabo Rojo Airport	Cabo Rojo	17.929001	-71.644798
CBK	KCBK	Shalz Field	Colby	39.427502	-101.046997
CBL	SVCB	General Tomas de Heres Airport	Ciudad Bolivar	8.122161	-63.536957
CBM	KCBM	Columbus Air Force Base	Columbus	33.643799	-88.443802
CBN	WICD	Cakrabhuwana  Airport	Cirebon-Java Island	-6.757000	108.538849
CBO	RPMC	Cotabato (Awang) Airport	Datu Odin Sinsuat	7.164753	124.209938
CBQ	DNCA	Margaret Ekpo International Airport	Calabar	4.976020	8.347200
CBR	YSCB	Canberra Airport	Canberra	-35.306900	149.195007
CBS	SVON	Oro Negro Airport	Cabimas	10.330700	-71.322502
CBT	FNCT	Catumbela Airport	Catumbela	-12.479200	13.486900
CBV	MGCB	Coban Airport	Coban	15.469000	-90.406700
CBW	SSKM	Campo Mourão Airport	Campo Mourão	-24.009199	-52.356800
CBX	YCDO	Condobolin Airport		-33.065650	147.213160
CBY	YCBE	Canobie Airport	Canobie	-19.479401	140.927002
CBZ	CN-0218	Binzhou Dagao General Aviation Airport	Binzhou	37.610550	117.885699
CCA	SLHI	Chimore Airport	Chimore	-16.976834	-65.145568
CCB	KCCB	Upland-Cable Airport	Upland	34.111599	-117.688004
CCC	MUCC	Jardines Del Rey Airport	Cayo Coco	22.461000	-78.328400
CCE	HECP	Capital International Airport	New Cairo	30.064650	31.839974
CCF	LFMK	Carcassonne Salvaza Airport	Carcassonne	43.216000	2.306320
CCG	KE13	Crane County Airport	Crane	31.415100	-102.362999
CCH	SCCC	Chile Chico Airport	Chile Chico	-46.583100	-71.686323
CCI	SSCK	Olavo Cecco Rigon Airport	Concórdia	-27.180511	-52.051755
CCJ	VOCL	Calicut International Airport	Calicut	11.135996	75.955152
CCK	YPCC	Cocos (Keeling) Islands Airport	West Island	-12.192218	96.834103
CCL	YCCA	Chinchilla Airport	Chinchilla	-26.771947	150.617571
CCM	SSIM	Forquilhinha - Criciúma  Airport	Criciúma	-28.725743	-49.424475
CCN	OACC	Chaghcharan Airport	Chaghcharan	34.526465	65.271020
CCO	SKCI	Carimagua Airport	Puerto López	4.564170	-71.336400
CCP	SCIE	Carriel Sur International Airport	Concepcion	-36.772350	-73.062828
CCR	KCCR	Buchanan Field	Concord	37.989700	-122.056999
CCS	SVMI	Maiquetía Simón Bolívar International Airport	Maiquetía	10.602214	-66.991174
CCU	VECC	Netaji Subhash Chandra Bose International Airport	Kolkata	22.654012	88.447650
CCV	NVSF	Craig Cove Airport	Craig Cove	-16.264999	167.923996
CCW	YCWL	Cowell Airport		-33.666698	136.891998
CCX	SWKC	Cáceres Airport	Cáceres	-16.043600	-57.629902
CCY	KCCY	Northeast Iowa Regional Airport	Charles City	43.072601	-92.610802
CCZ	MYBC	Chub Cay Airport	Chub Cay	25.417101	-77.880898
CDA	YCOO	Cooinda Airport		-12.903300	132.531998
CDB	PACD	Cold Bay Airport	Cold Bay	55.207871	-162.725029
CDC	KCDC	Cedar City Regional Airport	Cedar City	37.701000	-113.098999
CDD	MHCU	Cauquira Airport	Cauquira	15.316667	-83.591667
CDE	ZBCD	Chengde Puning Airport	Chengde	41.122500	118.073889
CDG	LFPG	Charles de Gaulle International Airport	Paris (Roissy-en-France, Val-d'Oise)	49.008960	2.554117
CDH	KCDH	Harrell Field	Camden	33.622799	-92.763397
CDI	SNKI	Cachoeiro do Itapemirim - Raimundo de Andrade Airport	Cachoeiro do Itapemirim	-20.834299	-41.185600
CDJ	SBAA	Conceição do Araguaia Airport	Conceição do Araguaia	-8.348350	-49.301498
CDK	KCDK	George T Lewis Airport	Cedar Key	29.134095	-83.050783
CDL	AK75	Candle 2 Airport	Candle	65.907700	-161.925995
CDN	KCDN	Woodward Field	Camden	34.283600	-80.564903
CDO	FACD	Cradock Airport	Cradock	-32.156700	25.645599
CDP	VOCP	Kadapa Airport	Kadapa	14.513154	78.769183
CDQ	YCRY	Croydon Airport		-18.225000	142.257996
CDR	KCDR	Chadron Municipal Airport	Chadron	42.837601	-103.095001
CDS	KCDS	Childress Municipal Airport	Childress	34.433800	-100.288002
CDT	LECH	Castellón-Costa Azahar Airport	Castellón de la Plana	40.213889	0.073333
CDU	YSCN	Camden Airport	Cobbitty	-34.038338	150.686406
CDV	PACV	Merle K (Mudhole) Smith Airport	Cordova	60.491798	-145.477997
CDW	KCDW	Essex County Airport	Caldwell	40.875198	-74.281403
CDY	RPMU	Cagayan de Sulu Airport	Mapun	7.014000	118.496002
CEA	KCEA	Cessna Aircraft Field	Wichita	37.648602	-97.250603
CEB	RPVM	Mactan Cebu International Airport	Cebu City/Lapu-Lapu City	10.309261	123.979740
CEC	KCEC	Jack Mc Namara Field Airport	Crescent City	41.778929	-124.236403
CED	YCDU	Ceduna Airport		-32.130600	133.710007
CEE	ULWC	Cherepovets Airport	Cherepovets	59.273602	38.015800
CEF	KCEF	Westover Metropolitan Airport / Westover Air Reserve Base	Chicopee	42.194000	-72.534798
CEG	EGNR	Hawarden Airport	Broughton	53.178101	-2.977780
CEH	FWCD	Chelinda Airfield		-10.557293	33.797109
CEI	VTCT	Mae Fah Luang - Chiang Rai International Airport	Chiang Rai	19.952299	99.882896
CEK	USCC	Kurchatov Chelyabinsk International Airport	Chelyabinsk	55.303141	61.504927
CEL	SSCN	Canela Airport	Canela	-29.370091	-50.831729
CEM	PACE	Central Airport	Central	65.573815	-144.780707
CEN	MMCN	Ciudad Obregón International Airport	Ciudad Obregón	27.392599	-109.833000
CEO	FNWK	Waco Kungo Airport	Waco Kungo	-11.426400	15.101400
CEP	SLCP	Concepción Airport	Concepción	-16.142688	-62.026595
CEQ	LFMD	Cannes Mandelieu Airport	Cannes	43.547998	6.955176
CER	LFRC	Cherbourg Manche airport	Cherbourg	49.650101	-1.470280
CES	YCNK	Cessnock Airport		-32.787498	151.341995
CET	LFOU	Cholet Le Pontreau airfield	Cholet	47.082100	-0.877064
CEU	KCEU	Oconee County Regional Airport	Clemson	34.671902	-82.886498
CEV	KCEV	Mettel Field	Connersville	39.698502	-85.129700
CEW	KCEW	Bob Sikes Airport	Crestview	30.778799	-86.522102
CEX	AK13	Chena Hot Springs Airport	Chena Hot Springs	65.051804	-146.046997
CEY	KCEY	Murray-Calloway County Airport Kyle-Oakley Field	Murray	36.664600	-88.372803
CEZ	KCEZ	Cortez Municipal Airport	Cortez	37.303001	-108.627998
CFB	SBCB	Cabo Frio Airport	Cabo Frio	-22.921485	-42.071874
CFC	SBCD	Doctor Carlos Alberto da Costa Neves Airport	Caçador	-26.787423	-50.939942
CFD	KCFD	Coulter Field	Bryan	30.715700	-96.331398
CFE	LFLC	Clermont-Ferrand Auvergne airport	Clermont-Ferrand	45.786701	3.169170
CFF	FNCF	Cafunfo Airport	Cafunfo	-8.783610	17.989700
CFG	MUCF	Jaime Gonzalez Airport	Cienfuegos	22.150000	-80.414200
CFH	YCFH	Clifton Hills Airport	Clifton Hills	-27.018299	138.891998
CFI	YCFD	Camfield Airport		-17.021700	131.326996
CFK	DAOI	Chlef Aboubakr Belkaid International Airport	Chlef	36.216614	1.341114
CFM	CET2	Conklin (Leismer) Airport	Conklin	55.695301	-111.278999
CFN	EIDL	Donegal Airport	Donegal	55.044201	-8.341000
CFO	SJHG	Confresa Airport	Confresa	-10.633296	-51.565836
CFP	YCPN	Carpentaria Downs Airport	Carpentaria Downs	-18.718481	144.313028
CFQ	CAJ3	Creston Valley Regional Airport - Art Sutcliffe Field	Creston	49.036900	-116.498001
CFR	LFRK	Caen Carpiquet airport	Caen	49.176780	-0.454883
CFS	YCFS	Coffs Harbour Airport	Coffs Harbour	-30.320601	153.115997
CFT	KCFT	Greenlee County Airport	Clifton	32.957039	-109.211397
CFU	LGKR	Corfu Ioannis Kapodistrias International Airport	Kerkyra (Corfu)	39.601450	19.912179
CFV	KCFV	Coffeyville Municipal Airport	Coffeyville	37.094002	-95.571899
CGB	SBCY	Várzea Grande–Marechal Rondon International Airport	Cuiabá	-15.652900	-56.116699
CGC	AYCG	Cape Gloucester Airport	Cape Gloucester	-5.455231	148.422289
CGD	ZGCD	Changde Taohuayuan Airport	Changde (Dingcheng)	28.918900	111.639999
CGE	KCGE	Cambridge Dorchester Airport	Cambridge	38.539299	-76.030403
CGF	KCGF	Cuyahoga County Airport	Cleveland	41.565102	-81.486397
CGG	CGG	Casiguran Airport	Casiguran	16.194100	122.065100
CGH	SBSP	Congonhas–Deputado Freitas Nobre Airport	São Paulo	-23.627657	-46.654601
CGI	KCGI	Cape Girardeau Regional Airport	Cape Girardeau	37.225300	-89.570801
CGJ	FLKE	Kasompe Airport	Chingola	-12.572800	27.893900
CGK	WIII	Soekarno-Hatta International Airport	Jakarta	-6.125570	106.655998
CGL	SPGL	Chagual Airport		-7.797624	-77.651249
CGM	RPMH	Camiguin Airport	Mambajao	9.253894	124.709115
CGN	EDDK	Cologne Bonn Airport	Köln (Cologne)	50.865898	7.142740
CGO	ZHCC	Zhengzhou Xinzheng International Airport	Zhengzhou	34.526497	113.849165
CGP	VGEG	Shah Amanat International Airport	Chattogram (Chittagong)	22.249599	91.813301
CGQ	ZYCC	Changchun Longjia International Airport	Changchun	43.996201	125.684998
CGR	SBCG	Campo Grande Airport	Campo Grande	-20.469998	-54.673988
CGS	KCGS	College Park Airport	College Park	38.980598	-76.922302
CGV	YCAG	Caiguna Airport		-32.280457	125.477943
CGX	FLCU	Chunga Airstrip	Chunga	-15.053957	25.985673
CGY	RPMY	Laguindingan International Airport	Laguindingan	8.612203	124.456496
CGZ	KCGZ	Casa Grande Municipal Airport	Casa Grande	32.954899	-111.766998
CHA	KCHA	Chattanooga Metropolitan Airport (Lovell Field)	Chattanooga	35.035301	-85.203796
CHB	OPCL	Chilas Airport	Chilas	35.426701	74.081703
CHC	NZCH	Christchurch International Airport	Christchurch	-43.489029	172.532065
CHD	SNQU	Mucugê Airport	Mucugê	-13.031200	-41.444099
CHF	RKPE	Jinhae Air Base	Jinhae	35.140248	128.696229
CHG	ZYCY	Chaoyang Airport	Shuangta, Chaoyang	41.538101	120.434998
CHH	SPPY	Chachapoyas Airport	Chachapoyas	-6.201911	-77.856195
CHJ	FVCH	Chipinge Airport	Chipinge	-20.206699	32.628300
CHK	KCHK	Chickasha Municipal Airport	Chickasha	35.097401	-97.967697
CHL	KLLJ	Challis Airport	Challis	44.522999	-114.218002
CHM	SPEO	FAP Lieutenant Jaime Andres de Montreuil Morales Airport	Chimbote	-9.149610	-78.523804
CHN	RKJU	Jeonju (G 703) Air Base	Jeonju	35.878289	127.118940
CHO	KCHO	Charlottesville Albemarle Airport	Charlottesville	38.138599	-78.452904
CHP	CHP	Circle Hot Springs Airport	Circle Hot Springs	65.485497	-144.610992
CHQ	LGSA	Chania International Airport	Souda	35.531207	24.150673
CHR	LFLX	Châteauroux Déols airport	Châteauroux	46.860221	1.728326
CHS	KCHS	Charleston International Airport	Charleston	32.896159	-80.038151
CHT	NZCI	Inia William Tuuta Memorial Airport	Te One	-43.811890	-176.465140
CHU	PACH	Chuathbaluk Airport	Chuathbaluk	61.579102	-159.216003
CHX	MPCH	Changuinola Captain Manuel Niño International Airport	Changuinola	9.458962	-82.515062
CHY	AGGC	Choiseul Bay Airport	Choiseul Bay	-6.711944	156.396111
CHZ	K2S7	Chiloquin State Airport	Chiloquin	42.579440	-121.879063
CIA	LIRA	Ciampino–G. B. Pastine International Airport	Rome	41.798769	12.595331
CIC	KCIC	Chico Regional Airport	Chico	39.795595	-121.857716
CID	KCID	The Eastern Iowa Airport	Cedar Rapids	41.884701	-91.710800
CIE	YCOI	Collie Airport	Collie	-33.366699	116.217003
CIF	ZBCF	Chifeng Yulong Airport	Chifeng	42.159723	118.840971
CIG	KCAG	Craig Moffat Airport	Craig	40.495201	-107.522003
CIH	ZBCZ	Changzhi Wangcun Airport	Changzhi	36.247501	113.125999
